Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Strokes,[],Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Pool Swimming,2022-04-27 09:20:52,false,"Pool Swimming","600","144","00:24:12","148","189","3.4","0","0","2:09","1:48","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","319","91","25","0","0:00","0.0","0:00","No","00:06.62.5","12","0.0","00:12:51","00:24:17","--","--"
Pool Swimming,2022-04-19 11:54:43,false,"Pool Swimming","700","168","00:26:54","146","181","3.3","0","0","2:12","1:45","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","375","93","24","0","0:00","0.0","0:00","No","00:33.72.2","14","0.0","00:15:24","00:27:00","--","--"
Pool Swimming,2022-04-13 16:45:22,false,"Pool Swimming","550","131","00:23:04","148","183","3.2","0","0","2:16","1:43","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","313","96","25","0","0:00","0.0","0:00","No","00:07.74.3","12","0.0","00:12:26","00:23:12","--","--"
Pool Swimming,2022-04-10 10:13:40,false,"Pool Swimming","500","120","00:18:56","138","166","2.6","0","0","2:11","1:51","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","254","91","23","0","0:00","0.0","0:00","No","00:07.16.6","10","0.0","00:10:57","00:19:11","--","--"
Pool Swimming,2022-03-25 11:26:06,false,"Pool Swimming","1,050","253","00:27:37","147","176","3.4","0","0","2:13","0:25","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","601","95","26","0","0:00","0.0","0:00","No","01:44.43","5","0.0","00:23:19","00:27:48","--","--"
Pool Swimming,2022-03-20 12:40:21,false,"Pool Swimming","950","226","00:30:39","145","172","3.3","0","0","2:28","1:50","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","566","104","24","0","0:00","0.0","0:00","No","01:20.00.9","9","0.0","00:23:24","00:30:52","--","--"
Pool Swimming,2022-03-17 12:54:10,false,"Pool Swimming","1,000","240","00:25:43","140","165","3.1","0","0","2:22","1:49","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","586","100","25","0","0:00","0.0","0:00","No","00:06.33.5","4","0.0","00:23:37","00:25:48","--","--"
Pool Swimming,2022-03-13 10:04:18,false,"Pool Swimming","1,200","288","00:34:01","162","184","4.3","0","0","2:24","1:47","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","723","102","25","0","0:00","0.0","0:00","No","00:04.69.5","8","0.0","00:28:48","00:34:10","--","--"
Pool Swimming,2022-03-11 10:44:31,false,"Pool Swimming","1,000","240","00:26:59","153","174","3.6","0","0","2:24","1:54","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","606","102","25","0","0:00","0.0","0:00","No","00:05.28.8","6","0.0","00:24:02","00:27:04","--","--"
Pool Swimming,2022-02-27 09:49:52,false,"Pool Swimming","1,200","288","00:34:55","148","169","3.5","0","0","2:22","1:54","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","716","101","25","0","0:00","0.0","0:00","No","01:09.85.2","6","0.0","00:28:30","00:35:00","--","--"
